fieldstonull,id,account_priority_score_vod__c,account_vod__c,account_vod__r,action_count_vod__c,actioned_vod__c,attachedcontentdocuments,attachments,call_objective_clm_id_vod__c,call_objective_from_date_vod__c,call_objective_on_by_default_vod__c,call_objective_record_type_vod__c,call_objective_to_date_vod__c,call_objectives_vod__r,calls_vod__r,combinedattachments,contentdocumentlinks,createdby,createdbyid,createddate,dismiss_count_vod__c,dismissed_vod__c,display_dismiss_vod__c,display_mark_as_complete_vod__c,display_score_vod__c,duplicaterecorditems,email_template_id_vod__c,email_template_vault_id_vod__c,email_template_vod__c,emails,expiration_date_vod__c,isdeleted,islocked,lastmodifiedby,lastmodifiedbyid,lastmodifieddate,lastreferenceddate,lastvieweddate,lookedupfromactivities,mark_complete_count_vod__c,marked_as_complete_vod__c,mayedit,name,no_homepage_vod__c,notes,notesandattachments,owner,ownerid,planned_call_date_vod__c,posted_date_vod__c,priority_vod__c,processinstances,processsteps,reason_vod__c,recordtype,recordtypeid,record_type_name_vod__c,sent_email_vod__r,suggestion_external_id_vod__c,suggestion_feedback_vod__r,suggestion_tags_vod__r,suppress_reason_vod__c,survey_targets__r,systemmodstamp,tags,title_vod__c,topicassignments,userrecordaccess,idate
NULL,,999,001U000000swDerIAE,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_1,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,998,001U000000swF7LIAU,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_2,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,997,001U000000swG67IAE,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_3,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,996,001U000000swM1dIAE,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_4,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,995,001U000000swN5JIAU,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_5,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,994,001U000000swNYMIA2,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_6,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,993,001U000000swON3IAM,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_7,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,992,001U000000swObTIAU,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_8,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,991,001U000000swRXuIAM,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_9,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
NULL,,990,001U000001O3wTEIAZ,NULL,NULL,NULL,NULL,NULL,NULL,12/7/2018,TRUE,Suggestion_vod,12/21/2018,NULL,NULL,NULL,NULL,NULL,,,,,TRUE,TRUE,FALSE,NULL,NULL,NULL,FALSE,NULL,12/21/2018,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,,,TRUE,,FALSE,NULL,,NULL,,NULL,NULL,Urgent_vod,NULL,NULL,"HCP is high potential, should be called once in 2 weeks",NULL,012U0000000QsZtIAK,Call_vod,NULL,ACC_POC_10,NULL,NULL,FALSE,NULL,,NULL,Schedule a Call for Entresto,NULL,NULL,2018-12
